name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,spkID,speaker_gender,non_likable,secure,attractive,unsympathetic,indecisive,unobtrusive,distant,bored,emotional,not_irritated,active,pleasant,characterless,sociable,relaxed,affectionate,dominant,unaffected,hearty,old,personal,calm,incompetent,ugly,friendly,masculine,submissive,indifferent,interesting,cynical,artificial,intelligent,childish,modest
'm004_linden_d5_01.wav',28.08284,0.1699435,25.43411,27.735440000000004,30.31578,4.881673999999999,105.9839,176.2514,81.98295999999999,97.87568,0.33924,0.880639,0.04902005,0.29124570000000005,0.5674399999999999,0.51842,7.560553,4.765484,6.289804,4.05389,0.19449860000000002,0.9644707,20.86479,0.8975993,10.48203,1.278267,17.07788,0.7775850999999999,8.217805,1.474979,0.04553619,1.2582360000000001,1.6582279999999998,0.9131191999999999,5.634983999999999,0.6422549,6.137377,1.920361,25.67142,0.4837866,477.1191,0.4348269,1232.739,0.2216098,-95.46759,-0.9419258,1437.4660000000001,0.1790999,954.6222,0.32867090000000004,-100.0617,-0.8285415999999999,2514.081,0.1088271,720.3229,0.4385277,-104.0354,-0.7610766999999999,-17.754479999999997,-0.5543858,28.75109,0.3319193,-0.01376835,-2.935736,-0.0053796980000000005,-2.026475,0.28078059999999994,0.6414738,32.112159999999996,0.4654392,9.564242,1.462374,19.73801,0.7414546999999999,5.820333,2.311995,-17.321839999999998,27.596159999999998,-0.03292672,0.009961461999999999,0.09162655,3.212217,2.639916,0.2078,0.1824532,0.1697727,0.26606979999999997,-34.3574,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d5_02.wav',29.211859999999998,0.146199,26.25266,28.600179999999998,32.33617,6.083513,161.3336,330.3792,362.5878,877.3813,0.23544279999999998,1.109321,0.0299868,0.1229479,0.4367566,0.40676979999999996,5.692883999999999,3.127654,4.695809,2.7406919999999997,0.1330141,1.185447,15.629760000000001,1.070881,10.9147,1.127766,15.987420000000002,0.8526434000000002,10.486239999999999,0.9544476000000001,0.05587547,1.26366,1.564176,0.9317335999999999,6.520905,0.5510345999999999,8.281207,1.220423,27.09638,0.41858149999999994,475.5616,0.42731450000000004,1204.775,0.2187131,-134.2181,-0.6535404,1483.753,0.1807747,910.4904,0.4044105,-136.8023,-0.5902798,2553.881,0.11572550000000001,763.9845,0.39861599999999997,-138.9343,-0.5590496,-19.29514,-0.5322063,29.880020000000002,0.33304179999999994,0.001420946,28.17166,-0.00612702,-1.912553,0.2826687,0.5679668999999999,31.8268,0.41830290000000003,12.16717,1.24665,21.63622,0.7832636,8.697378,1.231902,-19.36867,29.902490000000004,-0.02359261,0.01181835,0.05418028,2.580306,1.6367479999999999,0.2193548,0.1085962,0.39586209999999994,0.4504061,-35.82156,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d5_03.wav',27.414590000000004,0.1464609,25.12015,27.252059999999997,29.647879999999997,4.527731,342.772,426.5529,39.16091,19.70271,0.2147587,1.113278,0.01218794,0.1122002,0.4078567,0.3956688,4.881171,3.3924220000000003,4.7543239999999996,3.5593529999999998,0.1020211,1.244728,17.486420000000003,1.084592,12.11252,0.9734341000000001,14.68583,0.8289234000000001,10.62689,1.0250290000000002,0.05370814,2.060453,1.286738,1.0480770000000001,6.533453,0.5470351999999999,7.019286,1.142786,29.900859999999998,0.31161890000000003,465.1509,0.4021759,1216.635,0.1902203,-122.747,-0.7405674,1433.979,0.19224170000000002,994.8072,0.3323723,-127.0928,-0.6622916999999999,2458.058,0.1231617,821.8821,0.44596450000000004,-130.6832,-0.610322,-20.559079999999998,-0.4484251,31.58087,0.2789204,-0.009073911,-4.221104,-0.008059545,-1.209855,0.19527850000000002,0.698287,35.147659999999995,0.3645842,13.66138,1.0222790000000002,18.78249,0.7437776,9.373467999999999,1.331948,-21.07998,31.60965,-0.004338089,0.01364697,0.04464494,2.317009,1.319958,0.316,0.22256679999999995,0.405,0.5218771,-37.40793,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d6_01.wav',29.947370000000003,0.2330936,25.88278,28.73153,33.04972,7.166939,610.2223,1059.583,296.6494,754.1226,0.2954991,1.174808,0.01665209,0.1542122,0.5399875,0.5233354,9.255349,6.025841000000001,8.748433,6.276146,0.1648811,1.2460069999999999,16.31714,1.055963,10.554910000000001,1.176308,16.74906,0.7762420999999999,8.536186,1.439726,0.05238981,1.898441,1.49763,0.9453292,6.31727,0.5654346,7.257745,1.950907,25.22014,0.6222723000000001,493.0581,0.4291856,1196.1680000000001,0.2004254,-121.228,-0.7461005,1502.215,0.1836247,917.3724,0.384826,-123.0263,-0.6794584,2568.578,0.12519080000000002,768.8453,0.3418071,-124.8466,-0.6527261999999999,-17.83539,-0.6462471,27.46957,0.44328140000000005,-0.002587477,-17.27996,-0.004691172,-2.030514,0.3058763,0.724816,29.88575,0.4935834,10.11693,1.453422,22.369770000000003,0.6283273,6.558725,2.2128669999999997,-20.907220000000002,31.4132,-0.004427965,0.01256114,0.06789915,3.0025020000000002,1.926298,0.22521739999999998,0.2399614,0.2980952,0.4359731,-34.831509999999994,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d6_02.wav',28.33939,0.1558543,26.591859999999997,27.62675,29.428179999999998,2.836321,101.7909,133.901,511.3976,930.2193,0.2623547,1.004766,0.03117549,0.17218870000000003,0.5312736,0.5000981,5.817455000000001,3.280714,4.325913,3.312272,0.1193414,1.095538,18.89193,0.9235956,8.943319,1.3261290000000001,16.96881,0.8070843000000001,10.429089999999999,1.041053,0.04254961,2.274645,1.260556,1.003355,6.662496000000001,0.5515804,5.632203,1.915028,25.54487,0.3989368,460.2139,0.40748579999999995,1164.049,0.1629205,-116.9994,-0.7935532,1475.316,0.1933187,888.6429,0.4074856,-120.9863,-0.7071651,2487.026,0.11805,806.1569,0.4056955,-123.8717,-0.6639136,-17.73562,-0.5344137,27.66137,0.35290509999999997,0.006200382,6.208042,-0.008132875,-1.334016,0.2179768,0.6069203000000001,34.31893,0.3107979,7.668232000000001,1.761797,20.78991,0.7955736,7.408428,1.5399969999999998,-19.85076,30.46658,-0.02085797,0.01218358,0.04735089,2.335279,1.5075379999999998,0.2916667,0.21169290000000002,0.3516667,0.5671199,-36.51175,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d6_03.wav',28.63982,0.1696578,25.39114,28.106790000000004,31.2902,5.899057,467.0735,1053.31,62.14781,65.03965,0.2178319,1.2690219999999999,0.01459358,0.08641443,0.3782288,0.36363520000000005,6.071288,4.458462,6.205131,5.116619,0.12076410000000001,1.337104,14.320870000000001,1.276622,10.96668,1.160156,16.70564,0.7705318,10.60534,0.973975,0.04781669,0.887813,1.437154,0.9118695,5.925618,0.6733520000000001,6.023713,1.207557,25.66027,0.40268109999999996,490.2087,0.4001946,1163.083,0.2037945,-136.8119,-0.6323194999999999,1501.306,0.17750220000000003,931.4336,0.3896751,-139.0079,-0.5790451999999999,2504.467,0.1352902,827.2718,0.503067,-140.3595,-0.5586930999999999,-18.91735,-0.568905,27.90465,0.4061157,-0.00489843,-8.530737,-0.009628943000000001,-1.186741,0.2646323,0.6704699000000001,32.248,0.4596865,10.839139999999999,1.4020620000000001,24.29736,0.610042,10.55741,1.121235,-19.62515,30.45644,-0.01233585,0.0121714,0.05512963,2.418682,1.5912899999999999,0.2147368,0.1015858,0.41166670000000005,0.51432,-37.03911,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d7_01.wav',28.85513,0.17328929999999998,26.0137,28.33247,31.576859999999996,5.5631639999999996,98.96441,123.7941,83.9187,67.09715,0.2521863,1.06246,0.01988312,0.146899,0.48908,0.46919690000000003,6.457191000000001,3.928825,5.196751,3.858335,0.13380720000000002,1.16536,18.308329999999998,0.9498158999999999,11.137210000000001,1.055259,17.46336,0.7424861999999999,10.17544,1.182763,0.05503591,1.864841,1.321402,0.9948493,6.8180309999999995,0.5061800999999999,6.3595,1.682405,26.65134,0.421346,478.1747,0.4480959,1187.163,0.20032629999999998,-117.877,-0.7747590999999999,1466.558,0.18053029999999998,898.6331,0.33956970000000003,-119.9771,-0.7008258,2535.408,0.1271246,747.4311,0.3936469,-122.8374,-0.6573403,-19.03848,-0.5183502999999999,28.85792,0.3591623,0.0024529129999999997,17.933220000000002,-0.0037128879999999997,-2.785167,0.23892729999999998,0.6635344,31.9282,0.4216294,11.31047,1.164269,22.81244,0.5737846999999999,8.504512,1.61816,-20.9128,31.56547,-0.002553164,0.01396965,0.05786348,2.7663330000000004,1.8310689999999998,0.2435484,0.1668213,0.289,0.45199079999999997,-36.072959999999995,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d7_02.wav',29.0132,0.1866968,24.9472,28.52788,31.983109999999996,7.035902,240.3386,323.8224,58.241409999999995,40.182320000000004,0.22554380000000002,1.1514870000000001,0.00173678,0.09293582,0.47023919999999997,0.46850240000000004,5.661389,4.110811,5.524592,3.835404,0.1119521,1.230417,16.6257,1.080495,9.532575,1.2196870000000002,15.419120000000001,0.8525468,9.368121,1.2177360000000002,0.04989081,1.439255,1.4440549999999999,1.044547,6.46697,0.6029169,6.15029,1.1878469999999999,24.6929,0.4312928,497.8973,0.45437089999999997,1232.578,0.2146766,-128.5831,-0.6881044,1488.4579999999999,0.205787,959.8102,0.35261909999999996,-129.4069,-0.6449531,2528.471,0.13344620000000001,805.6351,0.42250590000000005,-132.0049,-0.6079386999999999,-17.94687,-0.5786167,28.299220000000002,0.3536718,-0.007661683000000001,-5.325751,-0.00452415,-2.6805060000000003,0.2236315,0.6081358,33.361990000000006,0.40106759999999997,8.196529,1.649301,21.6306,0.6720510999999999,7.574205,1.694611,-21.590529999999998,32.3949,0.008258539,0.01553401,0.04920712,2.6486169999999998,1.712936,0.2303448,0.13545539999999998,0.386,0.5666392,-36.399809999999995,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d7_03.wav',27.780659999999997,0.1439584,25.15025,27.78251,30.86454,5.714291,208.5611,239.8551,93.48894,140.3563,0.265313,0.9007086999999999,0.03853427,0.2361584,0.4624155,0.4238812,5.558897,3.541552,3.967545,2.932595,0.1337195,1.014421,19.34915,0.9620186,10.57375,1.17361,16.5415,0.7759510000000001,10.486880000000001,1.0060440000000002,0.04635749,1.886783,1.215982,0.9947573000000001,6.508,0.5537139,6.653366,1.301393,27.782659999999996,0.3573574,466.1326,0.41775439999999997,1184.049,0.1815884,-110.1597,-0.8279558000000001,1444.73,0.1923375,944.0815,0.3508462,-115.5342,-0.7310853,2453.9,0.12358310000000002,798.9072,0.4873245,-119.3104,-0.6740234,-18.84608,-0.5283715999999999,29.82684,0.305763,-0.006410453000000001,-5.5084919999999995,-0.005372887,-1.951134,0.22423720000000003,0.5968694,34.25067,0.35770820000000003,10.54905,1.357724,21.60231,0.6762163,9.145365,1.271335,-18.23783,29.09635,-0.02761537,0.0117183,0.05582349,2.7663330000000004,1.8299880000000002,0.25741929999999996,0.2045131,0.2763333,0.4073122,-36.285509999999995,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d8_01.wav',28.775170000000003,0.1399655,25.89676,28.573209999999996,31.109440000000003,5.212687,83.86028,98.86864,58.08905,73.19157,0.2819662,0.890224,0.02537294,0.252537,0.5136219,0.48824890000000004,5.554255,2.699033,5.179755,3.741337,0.1367235,1.0290110000000001,20.98923,0.9526243000000001,9.988316000000001,1.110599,13.36457,0.8873109,9.060108999999999,1.1595469999999999,0.04567741,1.596718,1.1852479999999999,1.039608,6.723244,0.4768598,6.391828,1.057513,27.01483,0.3422612,456.0948,0.37975679999999995,1223.435,0.1788595,-102.4405,-0.8987451,1411.02,0.1748568,951.8748,0.3183742,-106.4513,-0.8011419,2446.549,0.12145230000000001,765.3372,0.3419751,-110.5719,-0.7342549,-18.87959,-0.47922209999999993,29.63962,0.2946829,-0.0032966140000000002,-11.27369,-0.007963567,-1.360638,0.2217765,0.5886508,36.28259,0.33846309999999996,10.256910000000001,1.1736879999999998,16.066760000000002,0.8202788000000001,9.147717,1.252983,-17.52511,28.0213,4.340954000000001e-05,0.01410772,0.0528921,3.5486809999999998,1.6453380000000002,0.3177778,0.2586193,0.28411759999999997,0.3735215,-35.84321,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d8_02.wav',27.76267,0.1468708,25.12346,27.874309999999998,31.058690000000002,5.935226,203.4262,198.8671,49.7125,48.908590000000004,0.2899295,0.9574313,0.02180755,0.26477740000000005,0.49626509999999996,0.4744576,6.3156669999999995,3.437413,5.768987,3.204923,0.14883039999999997,1.026568,19.82297,0.9681563,10.56575,1.221792,17.44579,0.7125754,9.249305,1.113613,0.05111138,1.535873,1.321926,0.9604013000000001,6.131485,0.5879411999999999,6.686707000000001,0.898809,27.741590000000002,0.3409853,455.8306,0.3685328,1263.98,0.1577355,-100.9979,-0.9068363000000002,1444.805,0.1622502,984.3232,0.3565278,-106.5229,-0.7879245,2477.236,0.110954,839.936,0.46555050000000003,-109.9176,-0.734692,-19.30624,-0.46836890000000003,29.1557,0.3235467,-0.006596792,-5.126983,-0.006096521999999999,-1.548391,0.2365562,0.6227319,33.80536,0.35360890000000006,10.76182,1.344565,21.73989,0.5368538,10.04675,1.038781,-16.61159,26.1612,0.01547279,0.01589138,0.06675316,3.093722,1.738335,0.3042105,0.1756586,0.2644444,0.4441749,-35.242259999999995,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm004_linden_d8_03.wav',27.514979999999998,0.1313455,24.40054,27.23579,30.878259999999997,6.477716,151.3348,132.5675,41.25221,35.75574,0.21416190000000002,1.197814,0.01398182,0.07420059,0.3986389,0.3846571,6.139397,3.452843,5.627838,3.9607419999999998,0.1236177,1.230903,17.060029999999998,1.010276,12.4355,0.8939815999999999,15.91714,0.7478623000000001,11.882610000000001,0.8982051999999999,0.05140721,1.870901,1.442108,1.00824,6.105611,0.5037727,5.797973000000001,1.201606,28.73467,0.34216440000000004,479.358,0.4116219,1188.011,0.180324,-127.9102,-0.6991006999999999,1470.4289999999999,0.178775,936.812,0.3007621,-132.3498,-0.6217885000000001,2490.526,0.1154247,808.3785,0.44889629999999997,-135.0179,-0.5840563,-20.12537,-0.4876758,30.36228,0.3150348,-0.01081799,-3.534267,-0.0072564990000000005,-1.517249,0.2509903,0.5944159999999999,33.34138,0.4114728,13.932789999999999,0.9184002,20.4802,0.6744716,10.93015,1.065333,-22.2936,32.97317,-0.01296393,0.01304918,0.05215253,2.8207459999999998,1.553931,0.2488235,0.13060410000000003,0.39625,0.47646980000000005,-36.97394,4,male,40.07142857142857,59.85714285714285,44.57142857142857,54.42857142857143,35.07142857142857,52.28571428571429,48.57142857142857,49.78571428571429,45.714285714285715,55.28571428571429,58.42857142857143,52.14285714285714,48.28571428571429,52.14285714285714,51.57142857142857,44.14285714285715,58.35714285714285,52.714285714285715,46.615384615384606,48.57142857142857,44.0,53.57142857142857,39.785714285714285,52.07142857142857,51.42857142857143,75.78571428571429,47.07142857142857,51.35714285714285,49.14285714285714,55.85714285714285,38.07142857142857,55.78571428571429,40.5,46.92857142857143
'm005_nicosia_d5_01.wav',28.73756,0.1538731,26.401090000000003,29.22015,31.60543,5.204338,196.8666,230.5016,101.4467,101.3404,0.511703,0.8767411,0.05299453,0.4483584,0.8735847,0.8205902,9.277761,5.326023,9.541347,6.475025,0.3881658,0.9848296000000001,23.31852,0.8006707,9.407522,1.255892,15.842720000000002,0.7921315,6.238023,2.015441,0.07241326,1.44448,1.541339,0.912322,5.5348180000000005,0.7400396,6.531796,1.052762,27.262159999999998,0.28159059999999997,483.7299,0.43231840000000005,1213.839,0.1977536,-94.69068,-0.9579037,1435.4779999999998,0.205112,916.2597,0.36174759999999995,-98.1253,-0.8510844000000001,2535.828,0.1234972,628.1364,0.49466099999999996,-102.8511,-0.7714755999999999,-18.48166,-0.4756829000000001,28.658520000000003,0.2988937,0.006329918,6.497496,-0.005611759,-2.094316,0.575626,0.6261227,35.40337,0.34764720000000005,9.813663,1.1990020000000001,18.89327,0.6771688,3.591021,3.7260199999999997,-15.87444,25.91163,-0.00766058,0.01367691,0.1571213,3.935957,2.27577,0.24852939999999998,0.18666,0.17515150000000002,0.27934040000000004,-28.5217,5,male,42.117647058823536,60.529411764705884,53.82352941176471,50.764705882352935,35.70588235294117,59.764705882352935,49.764705882352935,42.647058823529406,46.235294117647065,64.70588235294117,54.941176470588225,60.058823529411775,40.058823529411775,55.470588235294116,66.94117647058823,48.058823529411775,59.70588235294117,56.941176470588225,52.529411764705884,55.58823529411765,39.0,69.82352941176471,34.47058823529412,47.411764705882355,54.17647058823529,80.76470588235293,47.82352941176471,53.235294117647065,57.352941176470594,47.70588235294117,35.8235294117647,62.82352941176471,29.294117647058826,49.82352941176471
'm005_nicosia_d5_02.wav',29.17587,0.1377991,26.81602,28.8457,32.11378,5.297768,167.4932,323.4353,88.16101,89.63807,0.4149069,1.0635709999999998,0.03944022,0.2488382,0.8295621999999999,0.790122,8.059476,5.830680999999999,9.127172,6.531293,0.26559879999999997,1.148202,19.8615,0.843203,9.978793,1.14024,15.859810000000001,0.8589414000000001,9.730428,1.3511959999999998,0.05358697,1.71032,1.341113,1.02495,6.9594570000000004,0.5333823000000001,7.445385000000001,0.9301485999999999,24.97206,0.33712040000000004,491.1471,0.4354054,1170.086,0.18136770000000002,-119.7743,-0.7706584,1485.9129999999998,0.20868179999999997,862.981,0.35570219999999997,-121.5784,-0.7034651999999999,2537.505,0.1263726,628.1131,0.4011389,-123.9326,-0.6676021,-18.1998,-0.45950640000000004,27.49857,0.31156100000000003,0.004253715,10.47749,-0.006467972,-1.8226529999999999,0.4842101,0.6559265000000001,33.99282,0.3154369,9.694506,1.322406,21.3573,0.7237903,4.407961,3.3043839999999998,-21.32945,32.37041,-0.04321646,0.01271822,0.09393205,2.535023,1.473543,0.29863629999999997,0.1615914,0.36,0.3533991,-29.415429999999997,5,male,42.117647058823536,60.529411764705884,53.82352941176471,50.764705882352935,35.70588235294117,59.764705882352935,49.764705882352935,42.647058823529406,46.235294117647065,64.70588235294117,54.941176470588225,60.058823529411775,40.058823529411775,55.470588235294116,66.94117647058823,48.058823529411775,59.70588235294117,56.941176470588225,52.529411764705884,55.58823529411765,39.0,69.82352941176471,34.47058823529412,47.411764705882355,54.17647058823529,80.76470588235293,47.82352941176471,53.235294117647065,57.352941176470594,47.70588235294117,35.8235294117647,62.82352941176471,29.294117647058826,49.82352941176471
